ADM0_NAME,flow_name,metric,value
Kiribati,Banana_irr_2030y_SOC,cf_median,
Kuril islands,Banana_irr_2030y_SOC,cf_median,
Kuwait,Banana_irr_2030y_SOC,cf_median,16.978992
Kyrgyzstan,Banana_irr_2030y_SOC,cf_median,
Lao People's Democratic Republic,Banana_irr_2030y_SOC,cf_median,38.87428
Latvia,Banana_irr_2030y_SOC,cf_median,
Lebanon,Banana_irr_2030y_SOC,cf_median,38.149895
Lesotho,Banana_irr_2030y_SOC,cf_median,
Liberia,Banana_irr_2030y_SOC,cf_median,26.643417
Libya,Banana_irr_2030y_SOC,cf_median,16.299034
Liechtenstein,Banana_irr_2030y_SOC,cf_median,
Lithuania,Banana_irr_2030y_SOC,cf_median,
Luxembourg,Banana_irr_2030y_SOC,cf_median,
Ma'tan al-Sarra,Banana_irr_2030y_SOC,cf_median,11.28762
Macau,Banana_irr_2030y_SOC,cf_median,
Madagascar,Banana_irr_2030y_SOC,cf_median,28.29648
Madeira Islands,Banana_irr_2030y_SOC,cf_median,
Malawi,Banana_irr_2030y_SOC,cf_median,22.393623
Malaysia,Banana_irr_2030y_SOC,cf_median,36.295692
Maldives,Banana_irr_2030y_SOC,cf_median,
Mali,Banana_irr_2030y_SOC,cf_median,13.047178
Malta,Banana_irr_2030y_SOC,cf_median,
Marshall Islands,Banana_irr_2030y_SOC,cf_median,
Martinique,Banana_irr_2030y_SOC,cf_median,
Mauritania,Banana_irr_2030y_SOC,cf_median,12.18486
Mauritius,Banana_irr_2030y_SOC,cf_median,72.23652
Mayotte,Banana_irr_2030y_SOC,cf_median,
Mexico,Banana_irr_2030y_SOC,cf_median,31.550766
Micronesia (Federated States of),Banana_irr_2030y_SOC,cf_median,93.62716
Midway Island,Banana_irr_2030y_SOC,cf_median,
"Moldova, Republic of",Banana_irr_2030y_SOC,cf_median,
Monaco,Banana_irr_2030y_SOC,cf_median,
Mongolia,Banana_irr_2030y_SOC,cf_median,
Montenegro,Banana_irr_2030y_SOC,cf_median,
Montserrat,Banana_irr_2030y_SOC,cf_median,
Morocco,Banana_irr_2030y_SOC,cf_median,23.880217
Mozambique,Banana_irr_2030y_SOC,cf_median,19.875727
Myanmar,Banana_irr_2030y_SOC,cf_median,41.577354
Namibia,Banana_irr_2030y_SOC,cf_median,17.80427
Nauru,Banana_irr_2030y_SOC,cf_median,
Navassa Island,Banana_irr_2030y_SOC,cf_median,
Nepal,Banana_irr_2030y_SOC,cf_median,30.165901
Netherlands,Banana_irr_2030y_SOC,cf_median,
Netherlands Antilles,Banana_irr_2030y_SOC,cf_median,
New Caledonia,Banana_irr_2030y_SOC,cf_median,65.6577
