ECO_ID,flow_name,metric,value,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM
648,Apple_irr_2030y_SOC,cf_mean,61.56017,Cantabrian mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
190,Apple_irr_2030y_SOC,cf_mean,87.00967,Canterbury-Otago tussock grasslands,8.0,"Temperate Grasslands, Savannas & Shrublands",Australasia
31,Apple_irr_2030y_SOC,cf_mean,,Cape Verde Islands dry forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Afrotropic
183,Apple_irr_2030y_SOC,cf_mean,19.99341,Cape York Peninsula tropical savanna,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
446,Apple_irr_2030y_SOC,cf_mean,29.857454,Caqueta moist forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
223,Apple_irr_2030y_SOC,cf_mean,,Cardamom Mountains rain forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan
599,Apple_irr_2030y_SOC,cf_mean,,Caribbean shrublands,13.0,Deserts & Xeric Shrublands,Neotropic
207,Apple_irr_2030y_SOC,cf_mean,20.39609,Carnarvon xeric shrublands,13.0,Deserts & Xeric Shrublands,Australasia
618,Apple_irr_2030y_SOC,cf_mean,,Carolines tropical moist forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Oceania
692,Apple_irr_2030y_SOC,cf_mean,,Carpathian montane forests,5.0,Temperate Conifer Forests,Palearctic
184,Apple_irr_2030y_SOC,cf_mean,18.556189,Carpentaria tropical savanna,7.0,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia
649,Apple_irr_2030y_SOC,cf_mean,,Caspian Hyrcanian mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
815,Apple_irr_2030y_SOC,cf_mean,,Caspian lowland desert,13.0,Deserts & Xeric Shrublands,Palearctic
447,Apple_irr_2030y_SOC,cf_mean,36.886612,Catatumbo moist forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
526,Apple_irr_2030y_SOC,cf_mean,53.274765,Cauca Valley dry forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Neotropic
448,Apple_irr_2030y_SOC,cf_mean,67.89138,Cauca Valley montane forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
650,Apple_irr_2030y_SOC,cf_mean,66.80382,Caucasus mixed forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
449,Apple_irr_2030y_SOC,cf_mean,,Cayos Miskitos-San Andrés and Providencia moist forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
651,Apple_irr_2030y_SOC,cf_mean,,Celtic broadleaf forests,4.0,Temperate Broadleaf & Mixed Forests,Palearctic
816,Apple_irr_2030y_SOC,cf_mean,,Central Afghan Mountains xeric woodlands,13.0,Deserts & Xeric Shrublands,Palearctic
111,Apple_irr_2030y_SOC,cf_mean,,Central African mangroves,14.0,Mangroves,Afrotropic
450,Apple_irr_2030y_SOC,cf_mean,40.74056,Central American Atlantic moist forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
527,Apple_irr_2030y_SOC,cf_mean,39.435593,Central American dry forests,2.0,Tropical & Subtropical Dry Broadleaf Forests,Neotropic
451,Apple_irr_2030y_SOC,cf_mean,43.338318,Central American montane forests,1.0,Tropical & Subtropical Moist Broadleaf Forests,Neotropic
553,Apple_irr_2030y_SOC,cf_mean,39.785393,Central American pine-oak forests,3.0,Tropical & Subtropical Coniferous Forests,Neotropic
