filename;filepath;crop_code;tech_code;technology;irrigation_practice;crop_name
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TRI.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TRI.HILM.tif;TRI;HILM;high_input_irrigated;irr;Triticale
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TRI.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.TRI.HRLM.tif;TRI;HRLM;high_input_rainfed;rf;Triticale
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WHE.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WHE.HILM.tif;WHE;HILM;high_input_irrigated;irr;Wheat
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WHE.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WHE.HRLM.tif;WHE;HRLM;high_input_rainfed;rf;Wheat
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WHE.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WHE.LILM.tif;WHE;LILM;low_input_irrigated;irr;Wheat
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WHE.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WHE.LRLM.tif;WHE;LRLM;low_input_rainfed;rf;Wheat
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WMEL.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WMEL.HILM.tif;WMEL;HILM;high_input_irrigated;irr;Watermelon
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WMEL.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WMEL.HRLM.tif;WMEL;HRLM;high_input_rainfed;rf;Watermelon
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WMEL.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WMEL.LILM.tif;WMEL;LILM;low_input_irrigated;irr;Watermelon
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WMEL.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WMEL.LRLM.tif;WMEL;LRLM;low_input_rainfed;rf;Watermelon
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WPO.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WPO.HILM.tif;WPO;HILM;high_input_irrigated;irr;White potato
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WPO.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WPO.HRLM.tif;WPO;HRLM;high_input_rainfed;rf;White potato
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WPO.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WPO.LILM.tif;WPO;LILM;low_input_irrigated;irr;White potato
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WPO.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.WPO.LRLM.tif;WPO;LRLM;low_input_rainfed;rf;White potato
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.YAM.HILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.YAM.HILM.tif;YAM;HILM;high_input_irrigated;irr;Yam
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.YAM.HRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.YAM.HRLM.tif;YAM;HRLM;high_input_rainfed;rf;Yam
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.YAM.LILM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.YAM.LILM.tif;YAM;LILM;low_input_irrigated;irr;Yam
GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.YAM.LRLM.tif;C:\Users\loyola\OneDrive - World Wildlife Fund, Inc\Documents\203. Python projects\SBTN_Test\data\crops\FAO_GAEZ\SuitIndex\GAEZ-V5.RES05-SIX.HP0120.AGERA5.HIST.YAM.LRLM.tif;YAM;LRLM;low_input_rainfed;rf;Yam
