ECO ID,Ecoregion name,Threshold,Ecoregion baseline,Target (10% above threshold),Threshold exceedance,Difference between baseline and target,Threshold met or exceeded? (Y/N)
625,Marquesas tropical moist forests,54.3,65.0,59.7,-10.8,#VALUE!,#VALUE!
626,Ogasawara subtropical moist forests,60.4,NA,66.5,#VALUE!,#VALUE!,#VALUE!
627,Palau tropical moist forests,41.7,58.4,45.9,-16.6,#VALUE!,#VALUE!
628,Rapa Nui and Sala y Gómez subtropical forests,46.9,NA,51.6,#VALUE!,#VALUE!,#VALUE!
629,Samoan tropical moist forests,49.5,74.9,54.5,-25.4,#VALUE!,#VALUE!
630,Society Islands tropical moist forests,51.4,72.2,56.5,-20.9,#VALUE!,#VALUE!
631,Tongan tropical moist forests,52.1,62.2,57.4,-10.0,#VALUE!,#VALUE!
632,Tuamotu tropical moist forests,53.9,63.9,59.3,-9.9,#VALUE!,#VALUE!
633,Tubuai tropical moist forests,50.8,NA,55.8,#VALUE!,#VALUE!,#VALUE!
634,Western Polynesian tropical moist forests,50.8,67.3,55.8,-16.5,#VALUE!,#VALUE!
635,Fiji tropical dry forests,51.4,60.6,56.6,-9.1,4.0,Y
636,Hawai'i tropical dry forests,56.3,63.6,61.9,-7.3,1.7,Y
637,Marianas tropical dry forests,56.6,58.0,62.3,-1.4,#VALUE!,#VALUE!
638,Yap tropical dry forests,41.8,55.6,46.0,-13.8,#VALUE!,#VALUE!
639,Hawai'i tropical high shrublands,54.9,56.4,60.4,-1.4,-4.1,N
640,Hawai'i tropical low shrublands,62.8,51.8,69.1,11.1,#VALUE!,#VALUE!
641,Northwest Hawai'i scrub,56.5,NA,62.1,#VALUE!,#VALUE!,#VALUE!
642,Guizhou Plateau broadleaf and mixed forests,77.4,58.2,85.1,19.2,26.9,Y
643,Yunnan Plateau subtropical evergreen forests,86.3,57.1,94.9,29.2,37.8,Y
644,Appenine deciduous montane forests,51.2,73.4,56.3,-22.2,-17.1,N
645,Azores temperate mixed forests,56.8,74.8,62.5,18.0,-12.3,N
646,Balkan mixed forests,61.1,47.0,67.2,14.1,20.2,Y
647,Baltic mixed forests,57.2,50.5,62.9,6.7,12.4,Y
648,Cantabrian mixed forests,53.8,75.0,59.2,-21.2,-15.8,N
649,Caspian Hyrcanian mixed forests,58.9,53.9,64.8,5.0,10.9,Y
650,Caucasus mixed forests,79.3,70.9,87.2,8.4,16.3,Y
